node_id	label_en	label_zh	polarity	canonical_ja	canonical_ja_tag	canonical_ja_notes	canonical_ko	canonical_ko_tag	canonical_ko_notes	n_ja_candidates	n_ko_candidates
jealous|妒忌	jealous	妒忌	neg	嫉妬	full	「jealous」や「妒忌」が持つ、他人の優位や愛情に対して不快感や敵意を抱く感情を最も正確に表す名詞である。	질투함	full	표준 형용사의 명사화 형태. 남이 가진 것을 부러워하며 시기하는 마음을 의미하며, 강한 부정적 뉘앙스를 가짐.	5	2
lonely|孤	lonely	孤	neg	寂しい	full	「lonely」の最も一般的な訳であり、人が一人でいることによって感じる心の淋しさや物悲しさを表す。	외로움	full	표준 명사 형태. 혼자 있어서 쓸쓸하고 적적한 상태를 의미하며, 문어/구어 모두 자연스럽게 사용 가능.	5	2
miserable|悲惨	miserable	悲惨	neg	惨め	full	「miserable」が持つ「非常にみすぼらしく、哀れで、心苦しい状態」を最も直接的に表す。精神的・社会的に劣った状況を強調し、原語のニュアンスに忠実である。	비참함	full	표준 명사 형태. 처지가 매우 불행하고 고통스러운 상태를 의미하며, 문어/구어 모두 자연스럽게 사용 가능.	5	2
pessimistic|悲观	pessimistic	悲观	neg	悲観的	full	最も直接的で標準的な訳語であり、物事を常に悪い方向に考え、明るい見通しを持たない態度を正確に表す。中国語の「悲观」と漢字も意味も完全に対応する。	비관	full	표준 명사 형태. 미래에 대해 부정적으로 생각하는 태도를 의미하며, 문어/구어 모두 자연스럽게 사용 가능.	5	2
regret|抱歉	regret	抱歉	neg	申し訳ない	full	「regret」が謝罪の文脈で持つ「心から詫びる気持ち」を最も強く表し、中国語の「抱歉」の直接的な謝罪ニュアンスに最も忠実である。また「申し訳なく思う」という後悔の念も含む。	미안함	full	표준 명사 형태. 자신의 잘못으로 인해 남에게 피해를 준 것에 대해 사과하는 마음을 의미하며, 구어에서 매우 자주 사용.	5	2
sad|忧愁	sad	忧愁	neg	悲しい	full	英語「sad」の最も標準的な訳であり、また中国語「忧愁」が含む「悲しみ」のニュアンスを的確に捉えている。	슬픔	full	표준 명사 형태. 마음이 아프고 쓸쓸한 감정을 의미하며, 모든 register에서 사용 가능.	5	2
shameless|没羞	shameless	没羞	neg	恥知らず	full	最も直接的で、他人から見て恥ずべき行動に対して恥ずかしいと感じない性質を正確に捉えており、「shameless」および「没羞」の核心的な意味である「恥を感じない」という表現に最も一致する。	뻔뻔함	full	표준 명사 형태. 부끄러움을 모르고 당당하게 행동하는 태도를 의미하며, 강한 부정적 뉘앙스를 가짐.	5	2
shy|羞愧	shy	羞愧	neg	恥ずかしい	full	この語は「人前で気恥ずかしく感じる」というshyの意味と、「自分の過ちを恥じる」という羞愧の意味の両方を幅広くカバーしており、最も直接的な対応語である。	부끄러움	full	표준 명사 형태. 자신의 잘못이나 부끄러운 일로 인해 얼굴이 뜨겁고 남 앞에 나서기 힘든 상태를 의미하며, 문어/구어 모두 자연스럽게 사용 가능.	4	2
sorrowful|悲哀	sorrowful	悲哀	neg	悲しい	full	最も一般的で直接的な語であり、深い心の痛みや哀しみを表す。「sorrowful」の中核的な感情、および「悲哀」の持つ「悲しみの気持ち」を完璧に捉えている。	비통함	full	표준 명사 형태. 매우 깊고 강한 슬픔을 의미하며, 주로 큰 사고나 죽음으로 인한 슬픔을 나타냄.	5	2
worried|着急	worried	着急	neg	心配する 	full	最も直接的な「worry」の訳で、辞書では「物事の先行きなどを気にして、心を悩ますこと」と定義されている。	걱정	full	표준 명사 형태. 미래의 일에 대해 불안하고 염려하는 마음을 의미하며, 문어/구어 모두 자연스럽게 사용 가능.	5	2
Countenance|表情	Countenance	表情	neutral	表情 	full	最も直接的で一般的な訳語であり、感情や意図が顔に現れた様子を指す。「Countenance」の中核的な意味である「顔の表情」、および「表情」の持つ概念に完全に一致する。	표정	full	표준 명사 형태. 얼굴에 나타나는 감정의 상태를 의미하며, 모든 register에서 사용 가능.	5	2
EmotionalityValue|感情特性值	EmotionalityValue	感情特性值	neutral	情動性値	full	日本の心理学では「emotion」を動的側面を強調して「情動」と訳すこともあり、「情動性」は感情反応の強さや頻度を示す特性を指す。元の「EmotionalityValue」の「感情の動的・反応的側面」を強調する。	[no single lexical equivalent]	no_correspondence	이 sememe는 학술적인 메타 범주 (감정의 강도나 특성을 수치화한 값)이며, 한국어 일반 어휘에는 해당하는 단일 어휘가 없음. 학술 논문 외에는 거의 사용되지 않으며, 단일 lexical entry는 없음 → no_correspondence.	2	1
ShowEmotion|表示情感	ShowEmotion	表示情感	neutral	感情を表す	full	直接的で汎用性の高い表現であり、内面的な感情を外面に出すという「ShowEmotion」の核心的な動作を正確に捉えている。	[no single lexical equivalent]	no_correspondence	이 sememe는 메타 범주 (모든 감정을 외부로 표현하는 행위 일반)이며, 한국어는 단일 어휘로 직접 표현하지 않음. '감정을 드러내다', '감정을 표현하다' 와 같은 구절로만 표현 가능. 단일 lexical entry는 없음 → no_correspondence.	5	1
Urgency|缓急	Urgency	缓急	neutral	緊急性	full	「緊急性」は、物事が差し迫っていて直ちに対処を要する性質を指し、英語の「Urgency」の核心的な意味である「緊迫した必要性」に完全に合致する。中国語の「缓急」のうち「急」の側面を最も正確に捉えている。	완급	full	한자어. 일의 긴급한 정도와 느린 정도를 함께 의미하며, 주로 문어에서 사용. '완급을 가리다' 와 같이 관용구로 사용되기도 함.	5	2
aspiration|意愿	aspiration	意愿	neutral	願望 	full	願望」は、実現してほしいと強く望む気持ちを広く指し、英語の「aspiration」が持つ「強い願い・向上心」と、中国語の「意愿」が持つ「こうしたいという気持ち」の両方を最もバランスよく含んでいる。	소망	full	표준 명사 형태. 미래에 이루고 싶은 바람이나 희망을 의미하며, 문어/구어 모두 자연스럽게 사용 가능.	5	2
eager|急切	eager	急切	neutral	待ちきれない	full	待ちきれない」は、何かを早く実現したいという強い熱望と、それに伴う焦燥感の両方を最も自然に表す。英語の「eager」が持つ「待ち遠しくてわくわくする気持ち」と、中国語の「急切」が持つ「待っていられない切迫感」を完璧に統合している。	간절함	full	표준 명사 형태. 무언가를 매우 원하고 빨리 이루고 싶은 마음을 의미하며, 문어/구어 모두 자연스럽게 사용 가능.	5	2
emotion|情感	emotion	情感	neutral	感情	full	最も直接的で一般的な訳語であり、喜怒哀楽などの心の働きや気持ち全般を指す。英語のemotionおよび中国語の情感の意味範囲をほぼ完全にカバーしている。	감정	full	표준 명사 형태. 사람이 느끼는 모든 기쁨, 슬픔, 분노 등의 심리 상태를 의미하며, 모든 register에서 사용 가능.	5	2
excite|感动	excite	感动	neutral	感激させる	full	英語の「excite」が引き起こす強い感情の高ぶりと、中国語の「感動」が表す深い心の動きを、いずれも適切に表現できる最もバランスの取れた語である。	감동	full	표준 명사 형태. 어떤 일이나 말에 마음이 움직여 깊은 인상을 받는 상태를 의미하며, 문어/구어 모두 자연스럽게 사용 가능.	5	2
experience|感受	experience	感受	neutral	体験する 	full	体験する」は、実際に自分で経験し、その中で感じ取ることを含む。英語の「experience」が持つ「実際に経験する」という意味と、中国語の「感受」が持つ「身をもって感じる」という意味の両方を最もバランスよく統合している。	느낌	full	표준 명사 형태. 몸이나 마음으로 직접 겪어서 알게 되는 감각이나 감정을 의미하며, 구어에서 매우 자주 사용.	5	2
feeling|情绪	feeling	情绪	neutral	気持ち 	full	最も広い範囲で内面的な感覚や感情状態を表し、英語のfeelingが持つ「心的・身体的な感覚全般」と、中国語の「情绪」が持つ「その時々の心の状態」の両方を自然に包含している。	기분	full	표준 명사 형태. 그때그때 느끼는 일시적인 심리 상태를 의미하며, 구어에서 매우 자주 사용.	5	2
perception|感知	perception	感知	neutral	知覚	full	感覚器官を通じて外界の刺激を捉え認識するという、英語の「perception」の最も中心的な意味を正確に表す。また中国語の「感知」の基本義とも完全に一致しており、心理学用語としても日常語としても最も適切である。	지각	full	표준 명사 형태. 감각 기관을 통해 외부의 사물을 인식하는 과정이나 능력을 의미하며, 주로 학술에서 사용.	5	2
sense|感觉	sense	感觉	neutral	感覚	full	五感をはじめとする生理的な知覚能力やその働きを指し、英語の「sense」の最も基本的な意味（視覚・聴覚など）と、中国語の「感觉」の中心的な意味（感じ取る機能）に完全に合致する。	감각	full	표준 명사 형태. 오감을 통해 외부의 자극을 느끼는 능력이나 그 느낌 자체를 의미하며, 문어/구어 모두 자연스럽게 사용 가능.	5	2
surprise|惊奇	surprise	惊奇	neutral	驚き	full	「surprise」の最も標準的な訳であり、予期せぬ出来事に対して感じる「驚き」を広く表す。肯定的にも否定的にも使え、原語の第一義に最も忠実である。	놀람	full	표준 명사 형태. 예상치 못한 일을 보고 깜짝 놀라는 상태를 의미하며, 문어/구어 모두 자연스럽게 사용 가능.	5	2
unwilling|不愿	unwilling	不愿	neutral	気が進まない	full	内心でその行動を取りたくないという消極的な意思を表し、「unwilling」の最も自然な訳である。単なる拒否ではなく、気持ちが乗らない状態を的確に捉えている。	꺼림칙함	full	표준 명사 형태. 어떤 일을 하기 싫고 마음이 내키지 않는 상태를 의미하며, 문어/구어 모두 자연스럽게 사용 가능.	5	2
urgent|急	urgent	急	neutral	緊急	full	「urgent」の最も標準的な訳であり、「すぐに対処しなければならない事態」を正確に表す。中国語の「急」の第一義にも合致し、広く使われる。	급함	full	표준 명사 형태. 일이 매우 빨리 처리되어야 하는 상태를 의미하며, 구어에서 매우 자주 사용.	4	2
voluntary|自愿	voluntary	自愿	neutral	自発的	full	「voluntary」の最も標準的な訳であり、他からの強制や命令によらず、自分の意思で行動することを正確に表す。中国語の「自愿」の第一義に完全に対応する。	자발성	full	표준 명사 형태. 남의 강요 없이 스스로 원해서 하는 상태를 의미하며, 문어/구어 모두 자연스럽게 사용 가능.	4	1
willing|愿意	willing	愿意	neutral	喜んで	full	「willing」が持つ「相手の申し出に対して、むしろ積極的に嬉しい気持ちで応じる」という最もポジティブなニュアンスを正確に表している。「喜んで引き受ける」のように使い、中国語の「很愿意」に直結する。	의향	full	표준 명사 형태. 어떤 일을 할 마음이 있는 상태를 의미하며, 문어/구어 모두 자연스럽게 사용 가능.	4	2
